movieId,title,genres,year,genres_list,genre_Film-Noir,genre_Fantasy,genre_Western,genre_Children,genre_Action,genre_Horror,genre_Crime,genre_Comedy,genre_Mystery,genre_Documentary,genre_Thriller,genre_Drama,genre_Animation,genre_(no genres listed),genre_Musical,genre_War,genre_Romance,genre_Sci-Fi,genre_Adventure,genre_IMAX,avg_rating,rating_count,rating_std,min_rating,max_rating,unique_users,first_rating_date,last_rating_date,rating_period_days,imdbId,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3.921,215.0,0.835,0.5,5.0,215.0,829322340.0,1535709666.0,8175.7792361111115,114709,862.0
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,"['Adventure', 'Children', 'Fantasy']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.432,110.0,0.882,0.5,5.0,110.0,829322340.0,1529901723.0,8108.557673611111,113497,8844.0
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.26,52.0,1.055,0.5,5.0,52.0,839317471.0,1498505071.0,7629.486111111111,113228,15602.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2.357,7.0,0.852,1.0,3.0,7.0,835441653.0,1237760055.0,4656.462986111111,114885,31357.0
5,Father of the Bride Part II (1995),Comedy,1995.0,['Comedy'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.071,49.0,0.907,0.5,5.0,49.0,829322340.0,1517441319.0,7964.340034722222,113041,11862.0
6,Heat (1995),Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.946,102.0,0.817,1.0,5.0,102.0,829759809.0,1530637587.0,8112.011319444445,113277,949.0
7,Sabrina (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.185,54.0,0.978,1.0,5.0,54.0,834241492.0,1498514161.0,7688.341076388889,114319,11860.0
8,Tom and Huck (1995),Adventure|Children,1995.0,"['Adventure', 'Children']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.875,8.0,1.126,1.0,5.0,8.0,833530760.0,1172030892.0,3917.825601851852,112302,45325.0
9,Sudden Death (1995),Action,1995.0,['Action'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,16.0,0.975,1.5,5.0,16.0,831940313.0,1498504960.0,7714.868599537037,114576,9091.0
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,"['Action', 'Adventure', 'Thriller']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.496,132.0,0.859,0.5,5.0,132.0,829827514.0,1537157573.0,8186.690497685186,113189,710.0
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3.671,70.0,0.9,1.0,5.0,70.0,829322340.0,1533949297.0,8155.404594907407,112346,9087.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,"['Comedy', 'Horror']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.421,19.0,1.25,1.0,5.0,19.0,835860711.0,1519181787.0,7908.80875,112896,12110.0
13,Balto (1995),Adventure|Animation|Children,1995.0,"['Adventure', 'Animation', 'Children']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.125,8.0,0.641,2.0,4.0,8.0,835022487.0,1494212082.0,7629.509201388889,112453,21032.0
14,Nixon (1995),Drama,1995.0,['Drama'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.833,18.0,0.707,3.0,5.0,18.0,832081027.0,1120827247.0,3341.970138888889,113987,10858.0
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,"['Action', 'Adventure', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,13.0,1.208,1.0,5.0,13.0,832449934.0,1519239842.0,7948.9572685185185,112760,1408.0
16,Casino (1995),Crime|Drama,1995.0,"['Crime', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.927,82.0,0.886,1.0,5.0,82.0,829759809.0,1533872553.0,8149.453055555556,112641,524.0
17,Sense and Sensibility (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.776,67.0,1.146,0.5,5.0,67.0,829759809.0,1513989967.0,7919.330532407407,114388,4584.0
18,Four Rooms (1995),Comedy,1995.0,['Comedy'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7,20.0,0.909,2.0,5.0,20.0,841109921.0,1532897231.0,8006.797569444445,113101,5.0
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,['Comedy'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.727,88.0,1.064,1.0,5.0,88.0,831939775.0,1513989970.0,7894.099479166666,112281,9273.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2.5,15.0,0.982,1.0,4.0,15.0,832699760.0,1498504813.0,7706.077002314815,113845,11517.0
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,"['Comedy', 'Crime', 'Thriller']",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3.494,89.0,0.868,1.0,5.0,89.0,829759809.0,1513989975.0,7919.330625,113161,8012.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995.0,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,3.222,36.0,0.823,1.0,5.0,36.0,828124615.0,1533947171.0,8169.2425462962965,112722,1710.0
23,Assassins (1995),Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.125,16.0,1.118,1.0,5.0,16.0,829828005.0,1498503332.0,7739.297766203704,112401,9691.0
24,Powder (1995),Drama|Sci-Fi,1995.0,"['Drama', 'Sci-Fi']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.125,28.0,1.015,1.0,5.0,28.0,837350801.0,1518640854.0,7885.301539351852,114168,12665.0
25,Leaving Las Vegas (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.625,76.0,1.117,1.0,5.0,76.0,829759809.0,1518197993.0,7968.034537037037,113627,451.0
26,Othello (1995),Drama,1995.0,['Drama'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,13.0,0.612,2.5,4.0,13.0,832059937.0,1498518655.0,7713.642569444444,114057,16420.0
27,Now and Then (1995),Children|Drama,1995.0,"['Children', 'Drama']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.333,9.0,1.199,2.0,5.0,9.0,844973931.0,1424487740.0,6707.335752314815,114011,9263.0
28,Persuasion (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.227,11.0,0.786,2.5,5.0,11.0,840310932.0,1436031727.0,6894.916608796297,114117,17015.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,4.013,38.0,0.826,2.0,5.0,38.0,840876620.0,1498500987.0,7611.393136574074,112682,902.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995.0,"['Crime', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,1.732,1.0,4.0,3.0,963179273.0,1039399501.0,882.1785648148148,115012,37557.0
31,Dangerous Minds (1995),Drama,1995.0,['Drama'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.184,38.0,0.989,0.5,5.0,38.0,832059371.0,1530642798.0,8085.4563310185185,112792,9909.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995.0,"['Mystery', 'Sci-Fi', 'Thriller']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3.983,177.0,0.79,1.0,5.0,177.0,829759809.0,1535709749.0,8170.716898148148,114746,63.0
34,Babe (1995),Children|Drama,1995.0,"['Children', 'Drama']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.652,128.0,1.042,1.0,5.0,128.0,829760897.0,1537157568.0,8187.461469907407,112431,9598.0
36,Dead Man Walking (1995),Crime|Drama,1995.0,"['Crime', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.836,67.0,0.943,0.5,5.0,67.0,829759809.0,1513989966.0,7919.330520833333,112818,687.0
38,It Takes Two (1995),Children|Comedy,1995.0,"['Children', 'Comedy']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.125,4.0,0.854,1.0,3.0,4.0,955945548.0,1419795113.0,5368.629224537037,113442,33689.0
39,Clueless (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.293,104.0,1.037,0.5,5.0,104.0,829760897.0,1535827547.0,8172.067708333333,112697,9603.0
40,"Cry, the Beloved Country (1995)",Drama,1995.0,['Drama'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.25,2.0,1.061,3.5,5.0,2.0,850688776.0,1057854804.0,2397.754953703704,112749,34615.0
41,Richard III (1995),Drama|War,1995.0,"['Drama', 'War']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.7,15.0,0.676,2.5,5.0,15.0,834398878.0,1498518847.0,7686.573715277777,114279,31174.0
42,Dead Presidents (1995),Action|Crime|Drama,1995.0,"['Action', 'Crime', 'Drama']",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0.816,2.0,4.0,7.0,839316637.0,1498525483.0,7629.732013888889,112819,11443.0
43,Restoration (1995),Drama,1995.0,['Drama'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.188,8.0,0.651,2.0,4.0,8.0,845555607.0,1519347048.0,7798.512048611111,114272,35196.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995.0,"['Action', 'Adventure', 'Fantasy']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.543,46.0,1.084,0.5,5.0,46.0,832059393.0,1533945558.0,8123.682465277778,113855,9312.0
45,To Die For (1995),Comedy|Drama|Thriller,1995.0,"['Comedy', 'Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3.312,32.0,0.83,2.0,5.0,32.0,832840081.0,1498516640.0,7704.58980324074,114681,577.0
46,How to Make an American Quilt (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.067,15.0,1.178,1.0,5.0,15.0,832059892.0,1333658594.0,5805.540532407407,113347,11861.0
