,mean,std,min,max
RandomForest,1.0,0.0,1.0,1.0
ExtraTrees,0.978450487429451,0.0,0.978450487429451,0.978450487429451
GradientBoosting,1.0,0.0,1.0,1.0
AdaBoost,1.0,0.0,1.0,1.0
DecisionTree,1.0,0.0,1.0,1.0
LogisticRegression,0.9928168291431504,1.1102230246251565e-16,0.9928168291431503,0.9928168291431503
KNN,0.8547973319651104,1.1102230246251565e-16,0.8547973319651103,0.8547973319651103
SVM,0.9584402257567982,1.1102230246251565e-16,0.9584402257567983,0.9584402257567983
MLP,0.9799897383273474,0.0,0.9799897383273474,0.9799897383273474
DeepLearning,0.9837523516333162,0.0004837398879332978,0.9830682401231401,0.9840944073884043
