,mean,std,min,max
RandomForest,0.00033343869652979356,4.218182802694389e-18,0.00033343869652978977,0.0003334386965297994
ExtraTrees,0.0006222288706342581,1.5332934166833742e-19,0.000622228870634258,0.0006222288706342583
GradientBoosting,0.0003143489173965978,0.0,0.0003143489173965978,0.0003143489173965978
AdaBoost,0.10346969288718726,0.0,0.10346969288718726,0.10346969288718726
DecisionTree,0.0006028732683428693,0.0,0.0006028732683428693,0.0006028732683428693
Ridge,0.0004214096492363621,5.421010862427522e-20,0.000421409649236362,0.000421409649236362
Lasso,0.07792998744060747,0.0,0.07792998744060747,0.07792998744060747
ElasticNet,0.07396517529985154,0.0,0.07396517529985154,0.07396517529985154
KNN,0.24049169414716867,0.0,0.24049169414716867,0.24049169414716867
SVM,0.06304149622702086,0.0,0.06304149622702086,0.06304149622702086
MLP,0.06512008249859094,0.0,0.06512008249859094,0.06512008249859094
DeepLearning,0.017261340208113325,0.0006883799446863133,0.016421699375846924,0.018107837172656134
